ID_Venda,ID_Produto,ID_Localizacao,Quantidade_Vendida,Valor_Venda,Data_Venda
1,2,1,5,92.08539955212972,2025-01-19
2,2,1,2,13.163992263783307,2024-03-14
3,1,2,4,213.8171755140632,2024-12-19
4,2,3,10,441.3234295834645,2024-08-11
5,2,3,8,384.9558520343772,2025-02-07
6,3,3,4,158.43866608653724,2025-01-19
7,3,3,5,26.995861724910668,2024-10-22
8,1,2,7,195.9139700657701,2024-10-16
9,1,1,8,164.26140839999124,2025-01-05
10,1,2,10,418.4750364484318,2024-09-03
11,1,3,6,149.4377492152679,2025-02-25
12,1,2,2,285.5086945395834,2024-09-04
13,2,2,1,362.5151532963778,2024-03-09
14,2,1,2,70.48002805731909,2024-08-14
15,3,1,9,394.2393227688838,2025-01-17
16,3,2,5,380.61118949227995,2024-04-21
17,2,2,4,130.7168212265566,2024-08-31
18,3,3,5,110.3528691712388,2024-10-07
19,3,2,6,66.4499619923378,2024-07-04
20,3,2,8,41.60307512198797,2024-12-15
21,3,2,1,149.54674233116378,2024-03-12
22,2,1,2,484.92962146179616,2024-06-29
23,1,2,6,442.34198816452533,2024-03-03
24,3,3,1,132.2665527747957,2024-11-03
25,2,1,4,233.5904139651111,2024-10-24
26,2,1,2,375.82746191236913,2024-12-19
27,2,1,10,481.6348996957372,2025-01-11
28,1,3,5,350.3997699254483,2024-11-09
29,1,1,2,409.3037989419603,2024-08-16
30,3,3,9,277.1260390683438,2024-05-11
31,2,1,8,242.80399191386306,2024-10-13
32,1,1,10,51.053232673465146,2025-02-16
33,1,3,10,371.32837166894774,2024-06-23
34,1,2,1,409.5304530741848,2025-01-09
35,3,1,3,369.24015038971106,2024-03-04
36,3,2,6,115.50668114562932,2024-07-28
37,2,3,4,355.8239357123229,2024-03-28
38,3,1,7,424.63471412038933,2024-03-30
39,3,3,3,316.38596452541964,2024-04-04
40,2,1,2,145.9153074755231,2025-01-22
41,2,2,10,213.65225247027965,2024-07-06
42,3,1,3,171.52301482726293,2024-05-21
43,1,2,2,151.1093956727294,2024-08-28
44,1,1,9,135.52262443101233,2024-10-27
45,1,2,7,168.52905368162047,2024-03-10
46,3,2,7,300.8897117313607,2024-06-27
47,1,3,2,319.15733353855677,2024-06-24
48,1,3,10,339.97643685428073,2025-02-16
49,2,2,4,334.37197377846496,2024-11-21
50,3,2,10,118.79070780457059,2024-03-06
51,2,2,3,423.19381453025994,2024-11-03
52,1,1,1,195.79887755381657,2024-09-20
53,2,2,6,72.37721633654357,2024-11-14
54,3,1,2,84.57600522999768,2024-11-20
55,1,2,10,280.2429712150382,2024-05-21
56,2,3,9,427.2039438497964,2024-12-19
57,3,3,2,316.7465324772722,2025-01-29
58,3,2,1,333.98734591289,2024-08-20
59,3,3,1,221.92377546289737,2024-06-22
60,3,3,10,493.6227226544807,2024-05-19
61,1,1,1,486.47541619806884,2024-05-13
62,3,2,7,173.11614284312554,2024-12-23
63,1,2,6,389.6829081458465,2024-08-01
64,2,1,2,394.18604045325424,2024-09-08
65,1,3,5,149.8765783818235,2024-06-10
66,1,2,8,429.41556219865294,2024-11-03
67,3,3,5,378.17086903050364,2025-01-13
68,3,3,9,386.6194407334602,2024-12-25
69,1,2,9,358.3432877194396,2025-01-29
70,3,1,1,212.4009582299384,2024-06-30
71,3,1,9,198.30856925717845,2024-09-21
72,2,3,8,140.98267784797517,2024-05-13
73,2,3,2,364.47012821353513,2024-07-18
74,2,3,9,246.14034645392647,2024-06-01
75,3,3,3,191.49115539782042,2024-12-15
76,2,2,1,440.1202032773127,2024-11-11
77,1,2,7,217.510987122243,2024-10-27
78,2,2,6,287.98382800283133,2024-08-20
79,3,1,9,83.47931877336362,2024-05-26
80,1,3,9,201.7398549854285,2024-07-28
81,1,1,8,317.9437876874907,2024-12-19
82,3,3,1,55.39726690803519,2024-03-11
83,2,1,8,126.93867389331793,2024-09-05
84,1,1,2,232.63666979004935,2024-06-17
85,2,2,7,131.66800224703002,2024-04-28
86,2,3,3,263.9931295229506,2024-12-08
87,3,3,9,13.215743552437475,2025-02-03
88,1,2,10,10.485021049662485,2025-02-10
89,2,3,8,148.9732550373219,2024-08-03
90,2,1,6,25.107950570765343,2024-08-25
91,2,2,2,202.1955537037385,2024-04-28
92,1,2,9,83.31157331149251,2025-01-21
93,3,2,8,83.46181071078415,2024-05-09
94,2,3,1,242.2439321486186,2024-05-04
95,1,1,5,212.5195702639184,2024-07-20
96,2,2,8,331.37417404736794,2024-09-08
97,1,1,4,107.97146868809855,2024-12-12
98,3,1,7,31.689574208386375,2025-02-24
99,1,1,8,406.6948859396404,2024-12-25
100,2,1,9,112.83333803393208,2025-02-22
