id_cliente,renda_mensal,idade,score_credito,tempo_emprego,num_cartoes,percentual_comprometido,pagamentos_atraso,valor_divida,risco_credito
1,8116.26,68,323,2.6,1,0.36,0,13792.51,0
2,19063.57,57,724,29.6,1,0.5,1,22283.75,0
3,14907.88,24,474,8.5,0,0.59,9,10594.51,0
4,12374.51,49,624,15.7,8,0.99,0,2528.93,0
5,3964.35,65,647,2.6,2,0.59,8,25848.52,0
6,3963.9,36,317,9.1,1,0.22,1,17349.56,0
7,2103.59,23,343,31.7,3,0.59,1,27144.12,0
8,17457.35,37,454,32.2,5,0.82,5,47325.37,0
9,12421.19,44,676,8.3,0,0.86,6,7168.52,0
10,14453.38,70,701,13.4,8,0.8,1,98.1,0
11,1391.11,60,524,5.4,8,0.89,3,3843.91,0
12,19428.29,54,516,3.0,7,0.33,2,23135.41,0
13,16816.41,65,330,39.7,5,0.51,4,35346.6,0
14,5034.44,24,358,26.2,3,0.78,8,29038.18,0
15,4454.67,22,652,21.7,1,0.26,1,24744.73,1
16,4484.69,28,744,30.6,7,0.37,4,17698.16,0
17,6780.6,32,534,33.6,6,0.83,7,15498.71,0
18,10970.37,20,406,32.3,3,0.77,5,18814.31,0
19,9206.96,22,490,0.7,2,0.97,3,30581.75,0
20,6533.35,40,829,7.5,5,1.0,9,8387.7,0
21,12625.2,70,544,26.2,0,0.24,7,38568.1,0
22,3650.38,54,375,15.0,1,0.9,2,28762.66,0
23,6550.75,26,846,39.3,6,0.09,3,13457.82,0
24,7960.88,32,566,26.6,2,0.71,8,25057.65,0
25,9665.33,20,616,38.3,0,0.22,4,48138.93,0
26,15918.34,46,420,8.1,1,0.3,5,1024.58,0
27,4793.8,23,324,34.6,9,0.95,1,9976.13,0
28,10770.45,34,731,12.9,9,0.26,8,22419.01,0
29,12255.88,43,459,39.6,8,0.67,7,31921.99,0
30,1882.56,38,413,6.3,6,0.18,6,10611.41,0
31,12543.35,25,801,20.7,6,0.09,8,46570.2,0
32,4239.96,38,465,31.7,9,0.34,4,32128.6,0
33,2235.98,74,474,17.3,7,0.62,4,43871.6,0
34,19028.83,28,300,18.7,7,0.25,8,16465.9,0
35,19347.01,55,385,39.5,8,0.3,4,41447.7,0
36,16359.55,25,619,17.0,1,0.71,8,18910.96,0
37,6787.66,59,700,24.2,7,0.1,0,12637.59,1
38,2855.77,41,681,2.2,7,0.45,9,45582.77,0
39,14000.43,52,617,33.7,4,0.94,9,4610.92,0
40,9362.9,72,549,25.9,4,0.4,7,47144.44,0
41,3318.73,31,824,16.2,3,0.43,2,22925.76,0
42,10408.36,72,555,0.6,4,0.74,7,49631.27,0
43,1653.38,31,606,23.7,1,0.78,4,26979.73,0
44,18277.09,27,443,0.5,1,0.77,1,37874.41,0
45,5916.82,29,690,0.0,4,1.0,8,353.55,0
46,13587.92,55,468,24.6,2,0.07,3,24833.34,0
47,6922.51,61,597,7.6,0,0.98,6,36872.67,0
48,10881.29,72,532,7.7,8,0.95,7,39141.35,0
49,11387.5,63,570,26.1,1,0.85,6,7902.43,0
50,4512.23,51,359,2.1,9,0.45,5,20948.55,0
51,19422.11,58,595,12.5,1,0.87,6,20953.6,0
52,15727.52,27,766,6.0,3,0.22,3,5182.04,0
53,18850.48,34,534,23.2,1,0.79,9,22152.28,0
54,18001.72,34,533,26.5,6,0.19,0,40354.65,0
55,12360.1,20,667,28.8,9,0.82,4,15009.04,0
56,18515.61,48,531,10.2,0,0.61,7,21628.73,0
57,2681.36,68,790,3.6,1,0.1,9,48047.93,0
58,4723.67,18,802,3.1,4,0.9,5,1585.4,0
59,1859.32,29,680,17.0,1,0.58,4,29576.09,0
60,7181.28,56,727,37.8,8,0.66,1,37171.8,0
61,8384.87,21,663,8.7,3,0.28,9,38044.12,0
62,6155.63,59,501,10.3,8,0.87,4,35796.9,0
63,16746.01,30,445,4.0,0,0.55,9,36322.57,0
64,7778.31,51,756,24.2,0,0.42,2,2950.63,0
65,6337.76,59,434,27.2,0,0.53,1,26706.83,0
66,11311.23,38,563,25.7,3,0.7,2,39148.45,0
67,3677.56,39,363,34.4,8,0.7,3,4703.25,0
68,16241.74,74,790,19.5,7,0.36,1,602.5,1
69,2416.46,21,340,5.4,6,0.39,3,40728.09,0
70,19750.85,35,595,11.6,0,0.56,3,35614.72,0
71,15672.65,22,302,26.5,2,0.92,5,20610.32,0
72,4775.6,36,409,24.5,8,0.75,4,47019.82,0
73,1104.92,19,520,21.2,8,0.39,6,38329.9,0
74,16493.77,29,669,27.3,4,0.34,6,48393.05,0
75,14430.29,34,667,25.5,5,0.52,2,46465.76,0
76,14851.14,27,735,35.3,5,0.87,8,24064.68,0
77,15654.14,51,303,23.4,9,0.01,6,37735.45,0
78,2406.85,23,543,31.1,3,0.71,6,33459.57,0
79,7810.85,25,465,9.9,0,0.29,1,40572.26,0
80,3201.51,68,325,27.1,4,0.21,9,39384.42,0
81,17398.97,28,694,36.1,0,0.01,2,7661.6,1
82,12842.66,74,773,15.4,0,0.9,2,11686.78,0
83,7287.06,29,316,31.2,4,0.91,5,13286.58,0
84,2207.61,26,391,29.0,4,0.06,3,40924.93,0
85,6908.66,19,782,2.4,6,0.52,3,40537.09,0
86,7178.48,25,842,23.3,1,0.15,0,24766.77,1
87,14862.52,28,504,5.2,5,0.76,5,29041.61,0
88,13113.59,70,801,38.7,1,0.67,7,41346.11,0
89,17857.04,53,699,32.5,9,0.3,7,15629.68,0
90,9972.08,27,506,4.4,4,0.12,7,2508.94,0
91,3272.29,38,445,4.9,3,0.83,4,24129.82,0
92,14551.65,37,400,23.8,9,0.67,9,45685.86,0
93,15454.92,65,540,13.8,4,0.01,5,39523.41,0
94,11664.27,25,462,1.4,1,0.63,4,18330.87,0
95,15648.38,53,472,21.7,7,0.81,3,3238.57,0
96,10382.12,46,801,15.5,7,0.59,3,31845.98,0
97,10931.92,59,846,4.0,5,0.42,3,41724.54,0
98,9123.28,29,583,32.1,2,0.58,3,33247.43,0
99,1482.96,31,658,36.6,3,0.62,5,21253.73,0
100,3049.94,65,680,30.3,0,0.64,5,6167.68,0
101,1597.15,71,832,32.9,8,0.97,4,45538.71,0
102,13091.8,67,462,8.7,9,0.18,8,13797.92,0
103,6972.76,38,606,10.5,4,0.62,7,11214.35,0
104,10662.84,39,638,8.3,7,0.19,9,40798.83,0
105,18243.76,38,354,30.6,2,0.21,5,49061.0,0
106,5736.55,61,632,37.9,3,0.67,8,33008.01,0
107,8797.28,67,426,28.7,3,0.92,4,31240.52,0
108,15355.47,47,542,35.3,7,0.16,9,15971.54,0
109,5347.17,56,708,25.5,8,0.96,3,1020.67,0
110,2462.62,37,802,15.5,2,0.32,5,9589.89,0
111,6505.28,41,602,17.0,6,0.39,3,29221.52,0
112,4063.2,40,763,3.0,8,0.15,7,7565.82,0
113,18664.26,24,534,1.3,1,0.62,6,44191.79,0
114,16354.29,26,337,27.8,3,0.6,4,9407.23,0
115,13034.67,18,438,17.5,2,0.44,9,26105.22,0
116,17557.75,43,494,22.1,7,0.48,5,25600.66,0
117,16269.77,55,826,22.3,3,0.62,6,30197.28,0
118,4544.83,55,300,11.1,8,0.58,1,16371.7,0
119,17958.62,71,395,19.0,0,0.37,8,43676.71,0
120,11247.5,61,712,18.8,0,0.88,6,22215.08,0
121,16341.36,39,837,15.5,3,0.67,7,35007.68,0
122,18025.73,61,728,32.8,2,0.21,4,31795.54,0
123,7042.07,27,534,18.0,2,0.32,2,5857.8,0
124,3090.99,72,648,24.1,9,0.79,1,31131.97,0
125,5330.77,23,780,35.8,1,0.1,1,27535.13,1
126,9115.05,34,695,34.6,9,0.75,2,44930.2,0
127,16542.28,68,650,35.6,9,0.36,0,44043.83,1
128,17353.88,67,715,10.8,1,0.55,0,7547.74,0
129,1132.09,55,350,1.4,7,0.28,6,4084.26,0
130,10704.2,41,380,10.4,0,0.99,9,14729.61,0
131,8930.81,68,335,11.1,7,0.91,7,49330.64,0
132,5220.05,27,366,36.4,9,0.93,5,1078.69,0
133,3277.44,73,780,26.0,2,0.18,6,33644.61,0
134,7414.69,25,767,3.3,1,0.84,0,30425.69,0
135,18915.28,38,441,5.4,8,0.54,0,32328.91,0
136,7140.86,73,655,6.2,4,0.71,8,10914.29,0
137,10857.02,23,770,25.2,4,0.22,4,11335.87,0
138,14357.36,38,738,29.4,5,0.71,6,21532.1,0
139,7908.96,74,830,34.4,3,0.91,5,4792.89,0
140,19463.86,56,426,37.6,6,0.27,3,3730.66,0
141,19286.5,41,504,8.1,6,0.23,0,4417.97,0
142,5783.86,50,328,12.4,8,0.1,3,28648.96,0
143,10447.72,35,744,9.6,5,0.27,9,19887.09,0
144,6716.69,73,763,14.4,0,0.54,9,14680.84,0
145,6411.97,45,579,36.6,8,0.83,7,15790.97,0
146,1700.85,74,450,23.0,9,0.28,0,10364.17,0
147,12581.72,69,539,29.5,8,0.62,1,20575.27,0
148,10550.9,49,565,19.6,4,0.48,7,10152.9,0
149,1978.1,29,404,1.2,6,0.29,1,34902.3,0
150,6294.28,65,732,2.6,0,0.51,9,6196.63,0
151,18257.05,59,796,21.5,3,0.17,8,47412.1,0
152,5551.68,44,739,28.8,9,0.64,2,4490.95,0
153,3753.0,27,457,8.6,3,0.12,2,47173.04,0
154,10299.6,63,471,28.9,4,0.73,5,41664.75,0
155,19727.36,74,793,32.4,5,0.18,2,34035.61,1
156,5599.05,69,610,16.5,3,1.0,8,45615.08,0
157,13770.58,59,702,29.9,5,0.82,7,6960.94,0
158,15470.77,49,762,16.2,9,0.34,3,8815.74,0
159,5515.11,59,666,27.1,6,0.43,5,12607.63,0
160,14836.11,43,849,30.6,2,0.26,7,12240.58,0
161,7987.88,42,554,39.7,8,0.77,3,15542.41,0
162,13013.81,28,507,13.8,7,0.38,4,28781.54,0
163,13037.06,40,749,16.4,0,0.76,6,1408.63,0
164,11179.72,51,394,6.6,1,0.02,7,19113.63,0
165,2715.51,74,777,8.2,1,0.14,6,12319.26,0
166,16870.75,69,489,27.7,9,0.36,7,30331.49,0
167,7094.82,57,783,36.7,8,0.11,3,49258.47,0
168,4543.85,40,835,15.8,8,0.6,0,25882.73,0
169,1774.73,46,722,7.2,8,0.05,5,21284.26,0
170,12226.97,48,432,11.4,0,0.86,4,18412.18,0
171,13873.72,24,354,18.2,6,0.76,3,39247.46,0
172,1315.17,57,809,11.6,2,0.22,1,3599.05,1
173,10729.77,50,840,9.3,8,0.48,0,47988.53,0
174,5303.42,38,709,29.4,7,0.45,8,20895.89,0
175,13258.28,19,510,0.3,2,0.72,1,15685.04,0
176,4312.96,35,592,21.6,0,0.4,8,48703.41,0
177,14127.82,64,414,31.8,8,0.03,5,46793.94,0
178,8347.97,50,558,10.6,9,0.27,5,32096.71,0
179,18797.87,54,421,24.1,0,0.47,1,925.37,0
180,3612.9,51,598,26.8,2,0.97,5,37426.75,0
181,7480.26,37,680,26.2,5,0.88,2,16777.87,0
182,3156.0,52,800,17.8,5,0.18,6,19414.01,0
183,18569.18,68,596,13.9,9,0.72,9,7937.11,0
184,17669.45,67,661,33.4,3,0.94,3,26172.9,0
185,5900.89,71,762,30.3,1,0.01,8,37227.63,0
186,13539.7,35,737,12.9,9,0.72,4,13650.56,0
187,16527.22,63,426,4.1,5,0.46,9,46936.65,0
188,11548.82,41,496,2.9,9,0.68,2,9736.84,0
189,11063.36,25,520,3.8,4,0.61,0,3313.12,0
190,5595.19,47,390,23.3,5,0.98,0,32218.19,0
191,2768.95,61,710,2.1,6,0.29,3,42465.94,0
192,18047.1,70,307,13.5,8,0.79,9,47656.64,0
193,18107.94,27,843,30.1,6,0.23,9,38358.55,0
194,13028.93,40,767,11.8,3,0.44,3,9982.5,0
195,7441.57,69,619,30.5,9,0.98,8,48883.06,0
196,7634.98,66,693,29.8,4,0.77,7,45971.79,0
197,14793.16,28,568,9.8,5,0.32,3,8158.37,0
198,18045.09,19,490,29.2,8,0.62,5,27939.29,0
199,17854.64,43,360,29.9,4,0.05,6,27775.87,0
200,15817.64,53,737,15.9,4,0.27,9,22126.74,0
201,13198.6,50,563,8.4,6,0.72,7,49214.07,0
202,2598.66,64,394,20.9,1,0.57,3,2981.11,0
203,4070.95,30,769,36.9,2,0.47,0,31360.45,0
204,18072.53,57,813,25.6,1,0.69,4,10265.18,0
205,12522.15,42,493,6.9,9,0.4,0,26366.56,0
206,1174.74,21,781,27.3,9,0.03,3,38987.04,0
207,2927.96,59,635,17.1,1,0.44,6,12336.34,0
208,13606.53,36,734,23.7,2,0.9,6,19667.98,0
209,1096.17,35,495,29.4,5,0.86,0,47538.4,0
210,4055.35,54,548,20.6,4,0.41,8,38074.04,0
211,11425.94,47,797,32.6,4,0.02,1,28636.16,1
212,14146.01,36,511,28.9,1,0.64,4,11099.87,0
213,13387.26,40,765,24.6,1,0.74,5,21265.27,0
214,5261.12,71,520,6.0,0,0.29,0,38703.07,0
215,14531.41,33,572,33.4,2,0.48,1,41027.15,0
216,5507.73,18,453,37.4,6,0.99,6,12230.31,0
217,7182.59,29,548,5.5,4,0.58,5,33103.01,0
218,15183.34,41,578,19.5,6,0.35,5,4750.15,0
219,13343.03,51,739,10.4,8,0.63,5,1160.62,0
220,17135.24,70,575,30.2,5,0.18,6,27433.7,0
221,13494.64,74,813,28.9,1,0.2,9,11218.99,0
222,11797.86,25,387,5.6,0,0.92,8,3945.6,0
223,2779.82,35,804,35.1,0,0.24,8,36491.42,0
224,7986.6,74,540,7.2,9,0.31,1,24898.73,0
225,6038.84,65,535,31.9,8,0.54,1,39813.85,0
226,5635.8,22,427,18.3,5,0.9,4,33197.21,0
227,19487.2,43,802,13.1,5,0.78,9,36490.25,0
228,8468.86,47,499,6.3,3,0.04,6,15368.03,0
229,17948.88,71,842,6.7,1,0.69,2,13163.79,0
230,12991.63,30,801,26.5,9,0.5,2,30043.74,0
231,16101.41,36,791,22.0,2,0.48,3,10004.11,0
232,10550.1,46,320,4.9,2,0.69,2,40770.61,0
233,11961.17,20,533,4.5,7,0.2,2,26146.01,0
234,10357.84,43,715,2.9,5,0.98,7,11349.5,0
235,4709.62,57,447,29.8,6,0.65,6,31258.41,0
236,14726.59,29,328,28.5,8,0.37,6,47251.79,0
237,6334.67,19,660,2.3,0,0.6,9,4104.74,0
238,1462.0,28,607,22.4,1,0.22,1,5467.26,1
239,13263.97,61,461,3.4,8,0.63,8,42191.96,0
240,4365.1,45,360,36.1,4,0.03,5,5479.69,0
241,18868.71,35,424,36.3,3,0.34,2,1968.77,0
242,19124.64,30,755,27.9,0,0.75,8,17396.53,0
243,18382.42,54,370,37.0,8,0.81,8,23335.29,0
244,8033.02,39,765,32.5,8,0.25,5,28472.22,0
245,1293.68,29,542,33.1,3,0.54,9,25365.01,0
246,18638.05,19,789,22.8,8,0.53,5,45659.23,0
247,9135.5,54,520,12.2,9,0.42,7,38433.41,0
248,19366.44,24,772,8.7,0,0.23,7,49190.51,0
249,19308.78,43,832,13.1,4,0.7,5,23822.77,0
250,17207.18,43,793,25.1,0,0.25,6,4216.48,0
251,6594.53,41,381,6.9,3,0.91,3,47776.53,0
252,8316.86,29,821,10.3,4,0.53,0,205.66,0
253,17171.6,33,311,18.7,2,0.87,3,38804.8,0
254,7021.52,40,562,9.3,1,0.29,7,1564.1,0
255,4220.36,57,748,23.5,5,0.81,7,38060.71,0
256,11579.22,26,491,36.9,2,0.11,1,46896.95,0
257,18786.94,49,413,29.9,9,0.77,6,19463.01,0
258,14224.57,32,325,26.7,0,0.39,0,12048.24,0
259,11831.16,54,798,23.3,4,0.47,1,11313.96,0
260,2846.35,30,807,19.5,1,0.17,7,24585.88,0
261,12685.14,22,844,7.5,1,0.02,9,8544.35,0
262,19811.02,28,361,35.8,3,0.67,3,33646.18,0
263,3661.6,27,528,9.9,3,0.59,2,18417.62,0
264,10848.26,69,334,3.7,3,0.62,1,16155.47,0
265,17670.09,30,755,30.0,6,0.26,5,23064.28,0
266,15074.6,58,801,7.0,0,0.24,3,27129.38,0
267,14243.3,70,324,14.9,7,0.83,2,7096.51,0
268,14347.2,63,331,1.1,9,0.76,2,35388.17,0
269,7830.33,67,311,5.5,8,0.34,9,44147.35,0
270,6578.25,32,618,6.9,9,0.64,2,13899.35,0
271,16377.86,59,300,2.2,5,0.83,7,9019.55,0
272,16392.15,73,734,26.3,3,0.89,8,38025.27,0
273,17474.37,24,435,33.5,5,0.01,8,9177.09,0
274,18351.57,57,495,14.9,9,0.81,4,2062.76,0
275,10715.51,45,432,35.0,6,0.35,0,30962.16,0
276,10528.81,49,385,8.5,5,0.72,9,11987.57,0
277,16167.61,52,775,13.0,0,0.37,4,8590.52,0
278,13349.31,32,623,6.0,4,0.61,0,49080.14,0
279,14337.37,65,479,24.8,7,0.65,8,14593.25,0
280,16120.06,53,815,16.8,7,0.4,9,45172.16,0
281,17910.1,38,474,24.5,9,0.51,7,8910.94,0
282,7421.91,23,320,30.5,8,0.73,6,40948.86,0
283,8136.08,18,404,21.8,3,0.48,1,25100.94,0
284,2785.66,21,742,25.1,9,0.01,1,3929.74,1
285,11987.32,28,348,37.4,5,0.01,3,36680.26,0
286,1682.9,61,827,12.0,6,0.66,8,44603.67,0
287,9846.36,43,444,14.4,4,0.85,8,8150.85,0
288,11310.25,54,639,28.7,7,0.79,7,36279.51,0
289,6444.28,40,653,24.5,2,0.31,4,22252.63,0
290,12225.83,46,374,7.1,7,0.47,6,37693.52,0
291,1579.5,38,618,15.0,4,0.23,8,35696.4,0
292,1709.62,65,386,18.7,0,0.99,2,1330.01,0
293,16629.41,62,341,16.8,5,0.26,3,8936.05,0
294,7843.62,62,392,7.1,1,0.42,1,23551.36,0
295,3414.15,66,806,37.0,6,0.68,8,46679.71,0
296,10922.62,44,828,30.5,8,0.88,6,17103.67,0
297,15629.88,56,564,19.3,2,0.05,5,31443.67,0
298,5100.6,57,591,27.2,9,0.3,4,604.19,0
299,12834.92,30,763,35.9,3,0.57,6,35556.35,0
300,2621.6,40,396,5.4,3,0.62,2,30153.41,0
301,1981.95,33,394,10.0,3,0.07,4,35769.74,0
302,11095.74,47,625,21.7,2,0.66,1,45233.03,0
303,11272.07,21,373,32.0,4,0.53,4,7324.95,0
304,13111.17,57,635,1.5,8,0.83,6,13079.48,0
305,14795.74,33,367,39.4,7,0.22,9,49789.04,0
306,19541.19,48,376,18.2,9,0.2,6,7814.2,0
307,10809.71,70,507,14.4,1,0.79,8,36031.35,0
308,7136.17,59,520,11.7,8,0.7,2,36253.8,0
309,16108.54,42,561,7.0,9,0.79,7,34149.69,0
310,6145.81,61,709,31.7,1,0.78,4,11372.03,0
311,9340.46,29,630,38.2,6,0.1,6,10756.7,0
312,2490.67,43,643,16.5,4,0.28,0,33317.05,1
313,1481.66,54,373,38.1,6,0.26,0,9312.51,0
314,19290.32,65,553,33.0,4,0.93,3,33078.17,0
315,16883.62,50,631,19.2,5,0.49,4,24626.41,0
316,14223.51,45,697,27.0,7,0.11,9,19331.44,0
317,8770.11,26,644,17.4,0,0.29,2,15011.62,1
318,4292.59,29,754,22.3,0,0.87,5,47378.85,0
319,3972.3,22,414,2.3,4,0.85,2,25404.68,0
320,5754.62,71,612,27.9,0,0.9,4,28062.6,0
321,11435.31,69,527,2.1,2,0.39,0,47462.8,0
322,14577.32,71,544,32.7,9,0.64,2,32693.87,0
323,13543.75,45,825,33.0,8,0.28,6,47892.65,0
324,6318.74,73,827,9.5,6,0.18,2,5318.34,1
325,19142.44,52,726,12.9,5,0.02,4,42331.98,0
326,15020.04,22,341,19.3,7,0.22,6,16770.73,0
327,11532.73,51,764,23.9,7,0.6,1,40524.38,0
328,12622.69,63,577,11.5,5,0.9,2,42781.83,0
329,8972.4,51,318,23.7,3,0.13,3,13574.39,0
330,5706.89,30,365,11.9,3,0.92,4,20441.53,0
331,7763.48,56,466,2.2,3,0.35,8,36300.72,0
332,15399.08,59,702,0.1,5,0.43,8,4952.78,0
333,1273.48,62,708,4.0,0,0.36,3,37776.68,0
334,3205.38,65,411,31.7,1,0.41,8,5523.65,0
335,1874.05,31,573,38.5,5,0.26,3,45722.79,0
336,1773.85,28,706,17.1,0,0.7,1,13816.96,0
337,17253.75,59,672,20.5,8,0.76,9,28779.97,0
338,14369.5,55,338,5.9,5,0.82,0,5857.68,0
339,10009.3,21,404,22.0,6,0.34,6,13474.66,0
340,2858.85,70,623,5.8,0,0.76,3,20197.75,0
341,10340.7,50,713,24.4,7,0.64,7,24352.44,0
342,9995.96,24,728,37.3,4,0.96,7,3.37,0
343,4290.84,73,360,7.8,4,0.42,7,44432.79,0
344,9243.18,58,606,30.6,5,0.99,5,383.74,0
345,8571.59,25,653,0.9,6,0.74,8,38684.23,0
346,12701.15,54,692,15.0,6,0.78,3,23528.95,0
347,13066.78,68,503,4.4,4,0.03,4,26194.0,0
348,1860.78,27,557,14.1,0,0.5,3,10413.27,0
349,8117.64,60,785,6.9,8,0.53,4,30368.42,0
350,12891.34,74,816,14.9,5,0.04,1,26861.6,1
351,10559.59,32,745,16.7,8,0.31,4,8211.82,0
352,17273.31,55,479,12.0,3,0.96,9,11905.95,0
353,13515.18,32,641,26.3,1,0.43,7,3345.18,0
354,4095.75,22,432,36.8,2,0.19,8,3314.18,0
355,2340.81,46,742,16.0,3,0.51,6,688.79,0
356,13205.97,36,552,7.7,9,0.03,6,11023.72,0
357,1503.71,71,564,10.8,7,0.52,5,33983.06,0
358,12129.74,68,392,34.2,2,0.59,1,15810.77,0
