id_candidato,cargo,tempo_experiencia,num_projetos,certificacoes,escolaridade,avaliacao_tecnica,avaliacao_comportamental,candidato_apto
965,Programador,16,32,7,Pós-graduação,8.9,6.6,1
6376,Programador,7,22,2,Graduação,7.2,9.0,1
2593,Programador,7,1,7,Doutorado,6.2,2.3,0
5636,Cientista de Dados,4,48,0,Mestrado,6.7,7.4,1
1229,Cientista de Dados,16,38,9,Mestrado,7.0,8.4,1
407,Programador,16,12,3,Graduação,2.9,2.4,0
4534,Analista de Dados,14,16,5,Pós-graduação,6.0,9.9,1
8012,Analista de Dados,13,23,8,Pós-graduação,8.7,7.5,1
229,Analista de Dados,1,6,4,Doutorado,7.1,1.4,0
8142,Analista de Dados,13,18,7,Graduação,1.5,4.6,0
7347,Cientista de Dados,12,13,2,Mestrado,7.1,6.1,1
8038,Cientista de Dados,5,22,9,Pós-graduação,7.0,6.0,1
2070,Cientista de Dados,7,27,2,Mestrado,9.6,6.7,1
5114,Analista de Dados,9,31,6,Pós-graduação,6.9,6.8,1
1218,Analista de Dados,2,40,6,Mestrado,9.1,5.1,0
723,Programador,4,29,2,Pós-graduação,7.0,9.5,1
9809,Programador,16,35,2,Graduação,9.6,1.4,0
1997,Analista de Dados,9,36,2,Graduação,4.4,5.0,0
6501,Programador,5,12,3,Doutorado,4.8,1.9,0
335,Analista de Dados,16,33,9,Doutorado,8.7,8.5,1
1145,Cientista de Dados,11,12,8,Mestrado,8.2,6.4,1
2942,Analista de Dados,15,3,9,Doutorado,8.2,1.3,0
7998,Programador,3,33,0,Graduação,7.1,4.7,0
4193,Programador,10,34,6,Graduação,9.8,7.3,1
5877,Analista de Dados,14,41,0,Mestrado,6.4,6.1,1
1068,Programador,4,47,3,Graduação,9.1,7.2,1
8384,Programador,12,49,8,Doutorado,1.3,7.8,0
9685,Analista de Dados,6,5,5,Graduação,7.1,9.2,1
6215,Analista de Dados,7,39,3,Doutorado,6.8,6.5,1
4613,Programador,3,13,6,Pós-graduação,6.0,7.3,1
1232,Analista de Dados,2,14,2,Mestrado,2.6,5.0,0
3125,Programador,19,44,1,Doutorado,4.0,9.2,0
