Date,Store,DayOfWeek,Sales,Promo,StateHoliday,SchoolHoliday
2018-01-01,7,5,8450,0,a,1
2018-01-02,15,4,3964,0,a,1
2018-01-03,11,6,9104,0,0,0
2018-01-04,8,5,18694,1,c,1
2018-01-05,7,1,3212,0,0,1
2018-01-06,19,5,10454,0,0,0
2018-01-07,11,3,7792,0,b,1
2018-01-08,11,2,10554,1,b,1
2018-01-09,4,3,9703,0,c,1
2018-01-10,8,7,14219,1,c,0
2018-01-11,3,2,16399,0,a,1
2018-01-12,2,7,19229,1,c,1
2018-01-13,12,5,8660,1,0,0
2018-01-14,6,4,2702,0,a,1
2018-01-15,2,5,17774,1,a,1
2018-01-16,1,1,18038,1,b,0
2018-01-17,12,5,5271,0,b,1
2018-01-18,12,2,9955,0,a,1
2018-01-19,17,3,12459,0,b,1
2018-01-20,10,4,7674,0,b,0
2018-01-21,16,7,18469,0,b,1
2018-01-22,15,5,6446,0,a,0
2018-01-23,15,5,2963,1,a,0
2018-01-24,19,3,10977,1,a,0
2018-01-25,12,4,11466,0,0,0
2018-01-26,3,6,6177,0,a,0
2018-01-27,5,7,12160,0,b,0
2018-01-28,19,5,5572,0,a,0
2018-01-29,7,5,8543,1,0,1
2018-01-30,9,6,9907,1,b,1
2018-01-31,7,7,17626,0,c,0
2018-02-01,18,2,7510,1,a,1
2018-02-02,4,2,18221,1,a,1
2018-02-03,14,1,4323,0,c,1
2018-02-04,18,3,10537,0,b,0
2018-02-05,9,4,11615,1,a,1
2018-02-06,2,5,2432,0,0,0
2018-02-07,15,7,8655,0,b,0
2018-02-08,7,5,9431,0,a,1
2018-02-09,12,1,9330,1,b,0
2018-02-10,8,7,12385,1,a,0
2018-02-11,15,7,9611,1,c,0
2018-02-12,3,5,14872,1,a,1
2018-02-13,14,3,17687,0,b,1
2018-02-14,17,1,3162,0,a,1
2018-02-15,4,3,7486,1,a,0
2018-02-16,18,1,5102,1,b,1
2018-02-17,8,5,16948,0,a,1
2018-02-18,4,1,11418,1,a,1
2018-02-19,2,2,2168,1,b,0
2018-02-20,6,7,1415,1,c,0
2018-02-21,10,4,11905,1,0,1
2018-02-22,4,5,14432,1,0,0
2018-02-23,18,6,6243,1,0,1
2018-02-24,12,4,17533,1,0,1
2018-02-25,2,5,6899,0,0,0
2018-02-26,10,4,1838,0,0,0
2018-02-27,4,2,7144,0,b,0
2018-02-28,14,4,10888,1,b,0
2018-03-01,16,1,13531,0,b,0
2018-03-02,15,4,16935,0,a,0
2018-03-03,8,5,8466,0,c,1
2018-03-04,14,6,16095,0,c,1
2018-03-05,8,6,12193,1,0,0
2018-03-06,16,3,2320,0,0,0
2018-03-07,13,7,14264,0,b,1
2018-03-08,18,4,13227,0,c,1
2018-03-09,15,6,18907,0,a,0
2018-03-10,13,4,6234,1,a,0
2018-03-11,9,7,13070,1,b,1
2018-03-12,15,6,7144,0,0,1
2018-03-13,13,7,1552,0,c,1
2018-03-14,1,4,17865,0,a,1
2018-03-15,7,5,16969,0,0,1
2018-03-16,9,4,1599,1,c,0
2018-03-17,1,7,16098,1,a,1
2018-03-18,12,5,15800,0,0,0
2018-03-19,8,5,10356,1,a,1
2018-03-20,11,3,13870,1,0,0
2018-03-21,19,6,13424,0,0,1
2018-03-22,17,1,2982,0,0,0
2018-03-23,8,5,19018,1,c,1
2018-03-24,3,7,8830,1,b,0
2018-03-25,3,6,3997,1,0,1
2018-03-26,1,2,18070,0,0,0
2018-03-27,5,4,12606,0,a,0
2018-03-28,10,7,2759,0,a,0
2018-03-29,7,2,8023,0,c,0
2018-03-30,9,7,14892,1,b,1
2018-03-31,7,4,19864,0,a,1
2018-04-01,9,3,16409,1,c,0
2018-04-02,8,7,10529,1,c,1
2018-04-03,12,5,1114,1,c,0
2018-04-04,2,1,13149,1,0,1
2018-04-05,1,5,17952,0,b,1
2018-04-06,16,4,16701,1,b,0
2018-04-07,5,7,10745,1,b,1
2018-04-08,3,1,3689,0,0,0
2018-04-09,12,5,3988,1,0,1
2018-04-10,8,1,4151,0,a,1
2018-04-11,3,4,12719,0,a,1
2018-04-12,1,3,16658,0,a,0
2018-04-13,3,3,10013,0,c,1
2018-04-14,5,7,7345,1,b,0
2018-04-15,15,5,4574,0,0,0
2018-04-16,14,2,8838,1,a,1
2018-04-17,3,4,18992,1,c,0
2018-04-18,1,5,17943,0,0,1
2018-04-19,5,5,14329,1,c,0
2018-04-20,14,3,15823,1,c,1
2018-04-21,7,7,6565,1,c,0
2018-04-22,9,1,5435,0,b,0
2018-04-23,15,4,6650,1,0,0
2018-04-24,15,1,19265,0,0,0
2018-04-25,10,6,8436,0,c,1
2018-04-26,13,6,4708,0,b,1
2018-04-27,19,4,15451,1,c,0
2018-04-28,7,7,2709,1,a,0
2018-04-29,17,2,10953,1,0,0
2018-04-30,4,6,2692,0,0,0
2018-05-01,5,3,16523,1,b,1
2018-05-02,7,2,15322,0,0,1
2018-05-03,13,5,10437,0,0,1
2018-05-04,15,6,1125,1,0,0
2018-05-05,11,3,13944,1,b,1
2018-05-06,4,5,2199,0,c,1
2018-05-07,13,2,7092,0,0,0
2018-05-08,7,4,17375,1,c,1
2018-05-09,19,5,3711,1,b,0
2018-05-10,2,1,10182,1,c,0
2018-05-11,10,4,6995,0,a,0
2018-05-12,13,4,9182,1,0,0
2018-05-13,6,2,6502,1,b,0
2018-05-14,12,2,13920,0,b,0
2018-05-15,12,3,19882,0,c,0
2018-05-16,11,3,3565,1,0,1
2018-05-17,7,1,11789,1,b,1
2018-05-18,1,4,6024,1,a,0
2018-05-19,1,7,2031,0,c,1
2018-05-20,13,1,2241,1,a,1
2018-05-21,9,1,2742,0,a,1
2018-05-22,3,7,6709,1,c,0
2018-05-23,7,7,15739,0,a,1
2018-05-24,6,7,12830,1,c,0
2018-05-25,8,2,14778,1,c,0
2018-05-26,9,1,9160,1,b,0
2018-05-27,5,1,13375,0,b,0
2018-05-28,1,5,5403,0,a,0
2018-05-29,19,7,5897,0,a,0
2018-05-30,10,7,1163,0,a,0
2018-05-31,12,3,4310,1,a,1
2018-06-01,15,3,18379,0,a,1
2018-06-02,9,4,15991,0,b,0
2018-06-03,17,3,19261,1,a,1
2018-06-04,17,6,18732,0,a,1
2018-06-05,12,4,3251,1,0,0
