module,method,url,count
servicos,secoes,http://compras.dados.gov.br/servicos/v1/secoes.json,6
servicos,grupos,http://compras.dados.gov.br/servicos/v1/grupos.json,147
servicos,divisoes,http://compras.dados.gov.br/servicos/v1/divisoes.json,39
servicos,classes,http://compras.dados.gov.br/servicos/v1/classes.json,285
servicos,subclasses,http://compras.dados.gov.br/servicos/v1/subclasses.json,281
servicos,servicos,http://compras.dados.gov.br/servicos/v1/servicos.json,2752
materiais,pdms,http://compras.dados.gov.br/materiais/v1/pdms.json,19678
materiais,grupos,http://compras.dados.gov.br/materiais/v1/grupos.json,79
materiais,classes,http://compras.dados.gov.br/materiais/v1/classes.json,704
contratos,tipos_contrato,http://compras.dados.gov.br/contratos/v1/tipos_contrato.json,9
contratos,contratos,http://compras.dados.gov.br/contratos/v1/contratos.json,589023
contratos,cronogramas,http://compras.dados.gov.br/contratos/v1/cronogramas.json,146925
fornecedores,portes_empresa,http://compras.dados.gov.br/fornecedores/v1/portes_empresa.json,3
fornecedores,naturezas_juridicas,http://compras.dados.gov.br/fornecedores/v1/naturezas_juridicas.json,74
fornecedores,tipos_ocorrencia,http://compras.dados.gov.br/fornecedores/v1/tipos_ocorrencia.json,10
materiais,materiais,http://compras.dados.gov.br/materiais/v1/materiais.json,261484
fornecedores,municipios,http://compras.dados.gov.br/fornecedores/v1/municipios.json,5317
fornecedores,ramos_negocio,http://compras.dados.gov.br/fornecedores/v1/ramos_negocio.json,87
fornecedores,ocorrencias_fornecedores,http://compras.dados.gov.br/fornecedores/v1/ocorrencias_fornecedores.json,199579
fornecedores,prazos_ocorrencia,http://compras.dados.gov.br/fornecedores/v1/prazos_ocorrencia.json,4
fornecedores,cnaes,http://compras.dados.gov.br/fornecedores/v1/cnaes.json,1329
fornecedores,ambitos_ocorrencia,http://compras.dados.gov.br/fornecedores/v1/ambitos_ocorrencia.json,6
fornecedores,linhas_fornecimento,http://compras.dados.gov.br/fornecedores/v1/linhas_fornecimento.json,3272

https://dadosabertos.compras.gov.br/modulo-material/1_consultarGrupoMaterial
