codigo	descricao	codigo_classe	id	offset	item_filename
00001	RESISTOR CARBONO                                                                                    	5905	00001	0	materiais.pdms
00001	RESISTOR CARBONO                                                                                    	5905	00001	0	materiais.pdms
00001	RESISTOR CARBONO                                                                                    	5905	00001	0	materiais.pdms
00002	RESISTOR FILME METÁLICO                                                                             	5905	00002	0	materiais.pdms
00003	RESISTOR FIO                                                                                        	5905	00003	0	materiais.pdms
00003	RESISTOR FIO                                                                                        	5905	00003	0	materiais.pdms
00004	DISJUNTOR BAIXA TENSÃO                                                                              	5925	00004	0	materiais.pdms
00004	DISJUNTOR BAIXA TENSÃO                                                                              	5925	00004	0	materiais.pdms
00005	FITAS ADESIVAS                                                                                      	7510	00005	0	materiais.pdms
00006	FITA CORRETIVA MÁQUINA ESCREVER                                                                     	7510	00006	0	materiais.pdms
00007	FITA IMPRESSÃO MÁQUINA ESCREVER                                                                     	7510	00007	0	materiais.pdms
00008	FITA IMPRESSÃO MÁQUINA CALCULAR                                                                     	7510	00008	0	materiais.pdms
00009	BORRACHA APAGADORA                                                                                  	7510	00009	0	materiais.pdms
00010	FITA ROTULADORA                                                                                     	7510	00010	0	materiais.pdms
00011	CLIPE                                                                                               	7510	00011	0	materiais.pdms
00012	LÁPIS PRETO                                                                                         	7510	00012	0	materiais.pdms
00012	LÁPIS PRETO                                                                                         	7510	00012	0	materiais.pdms
00013	ÁCIDO BENZÓICO                                                                                      	6810	00013	0	materiais.pdms
00014	CANETAS HIDROGRAFICAS                                                                               	7510	00014	0	materiais.pdms
00015	LÁPIS BORRACHA                                                                                      	7510	00015	0	materiais.pdms
00016	LÁPIS DE COR                                                                                        	7510	00016	0	materiais.pdms
00016	LÁPIS DE COR                                                                                        	7510	00016	0	materiais.pdms
00017	MINA GRAFITE                                                                                        	7510	00017	0	materiais.pdms
00018	CORRETIVO LÍQUIDO                                                                                   	7510	00018	0	materiais.pdms
00019	CORRETIVO SECO                                                                                      	7510	00019	0	materiais.pdms
00020	PASTA ARQUIVO                                                                                       	7510	00020	0	materiais.pdms
00020	PASTA ARQUIVO                                                                                       	7510	00020	0	materiais.pdms
00020	PASTA ARQUIVO                                                                                       	7510	00020	0	materiais.pdms
