codigo	descricao	codigo_grupo	id	offset	item_filename
1111	SERVIÇOS  DE DESENVOLVIMENTO DE SOFTWARE E OU MANUTENÇÃO EVOLUTIVA DE SOFTWARE                                          	111	1111	0	servicos.classes
1112	SERVIÇOS  DE MANUTENÇÃO EVOLUTIVA DE SOFTWARE                                                                           	111	1112	0	servicos.classes
1121	SERVIÇOS DE MANUTENÇÃO E SUSTENTAÇÃO DE SOFTWARE                                                                        	112	1121	0	servicos.classes
1131	SERVICOS DE DOCUMENTACAO DE SOFTWARE                                                                                    	113	1131	0	servicos.classes
1141	SERVIÇOS DE ENGENHARIA DE REQUISITOS DE SOFTWARE                                                                        	114	1141	0	servicos.classes
1151	SERVIÇOS DE MENSURAÇÃO DE SOFTWARE                                                                                      	115	1151	0	servicos.classes
1161	SERVIÇOS DE QUALIDADE DE SOFTWARE                                                                                       	116	1161	0	servicos.classes
1171	SERVIÇO DE IMPLEMENTAÇÃO ÁGIL DE SOFTWARE                                                                               	117	1171	0	servicos.classes
1311	INFRAESTRUTURA COMO SERVIÇO - IAAS                                                                                      	131	1311	0	servicos.classes
1312	PLATAFORMA COMO SERVIÇO - PAAS                                                                                          	131	1312	0	servicos.classes
1313	SOFTWARE COMO SERVIÇO - SAAS                                                                                            	131	1313	0	servicos.classes
1411	SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC)                                                                              	141	1411	0	servicos.classes
1412	SMP - SERVIÇO MÓVEL PESSOAL                                                                                             	141	1412	0	servicos.classes
1413	SERVIÇOS DE TELEFONIA INTERNACIONAL - LDI (STFC E SMP)                                                                  	141	1413	0	servicos.classes
1414	SERVIÇOS DE TELECOMUNICAÇÕES SATELITAIS                                                                                 	141	1414	0	servicos.classes
1421	SERVIÇOS DE LINKS VIA CABO                                                                                              	142	1421	0	servicos.classes
1422	SERVIÇOS DE LINKS VIA RÁDIO                                                                                             	142	1422	0	servicos.classes
1423	SERVIÇOS DE LINKS VIA SATÉLITE                                                                                          	142	1423	0	servicos.classes
1511	OUTSOURCING DE IMPRESSÃO - PÁGINAS DENTRO DA FRANQUIA                                                                   	151	1511	0	servicos.classes
1512	OUTSOURCING DE IMPRESSÃO - PÁGINAS EXCEDENTES A FRANQUIA                                                                	151	1512	0	servicos.classes
1521	OUTSOURCING DE IMPRESSÃO - LOCAÇÃO DE EQUIPAMENTO DE IMPRES-SÃO                                                         	152	1521	0	servicos.classes
1522	OUTSOURCING DE IMPRESSÃO - LOCAÇÃO - PÁGINAS IMPRESSAS                                                                  	152	1522	0	servicos.classes
1531	"OUTSOURCING DE IMPRESSÃO   - MODALIDADE SEM FRANQUIA (APENASPÁGINAS IMPRESSAS) - ""CLICK""                                "	153	1531	0	servicos.classes
1611	SERVIÇOS ESPECIALIZADOS  DE  INSTALAÇÃO, TRANSIÇÃO, CONFIGU-RAÇÃO / CUSTOMIZAÇÃO DE SOFTWARE                            	161	1611	0	servicos.classes
1621	SERVIÇOS  DE   GERENCIAMENTO  EM TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO (TIC)                                           	162	1621	0	servicos.classes
1631	SERVIÇOS DE HOSPEDAGEM EM TECNOLOGIA DA INFORMAÇÃO E COMUNI-CACÃO (TIC)                                                 	163	1631	0	servicos.classes
1641	SERVIÇOS DE INTEGRAÇÃO DE SISTEMAS EM TECNOLOGIA DA INFORMA-ÇÃO E COMUNICAÇÃO (TIC)                                     	164	1641	0	servicos.classes
1651	SERVICOS PARA  A  INFRAESTRUTURA DE TECNOLOGIA DA INFORMAÇÃOE COMUNICAÇÃO (TIC),  NAO CLASSIFICADOS EM OUTROS TÓPICOS   	165	1651	0	servicos.classes
1661	SERVIÇOS DE MANUTENÇÃO E INSTALAÇÃO DE EQUIPAMENTOS DE TIC                                                              	166	1661	0	servicos.classes
1671	SERVIÇOS DE EMISSÃO DE CERTIFICADO A1                                                                                   	167	1671	0	servicos.classes
1672	SERVIÇOS DE EMISSÃO DE CERTIFICADO A3, COM TOKEN                                                                        	167	1672	0	servicos.classes
1673	SERVIÇOS DE EMISSÃO DE CERTIFICADO A3, SEM TOKEN                                                                        	167	1673	0	servicos.classes
1674	SERVIÇOS DE EMISSÃO DE OUTROS TIPOS DE CERTIFICADOS DIGITAIS                                                            	167	1674	0	servicos.classes
1681	SERVIÇOS AUXILIARES DE TECNOLOGIA DA INFORMAÇÃO  E COMUNICA-ÇÃO (TIC)                                                   	168	1681	0	servicos.classes
1682	SERVIÇOS DE DIGITALIZAÇÃO/ INDEXAÇÃO DE DOCUMENTOS E CONVER-SÃO DE ARQUIVOS DIGITAIS - OCR                              	168	1682	0	servicos.classes
1711	SERVIÇOS DE ANÁLISE DA DADOS E INDICADORES DE TIC                                                                       	171	1711	0	servicos.classes
1721	SERVIÇOS DE PESQUISA,ANÁLISE E DESENVOLVIMENTO EM TECNOLOGIADA INFORMAÇÃO E COMUNICAÇÃO (TIC)                           	172	1721	0	servicos.classes
1731	SERVIÇOS  DE  CONSULTORIA  EM  TECNOLOGIA  DA  INFORMAÇÃO  ECOMUNICAÇÃO (TIC)                                           	173	1731	0	servicos.classes
1741	SERVIÇOS DE PROJETOS EM TECNOLOGIA DA INFORMAÇÃO E COMUNICA-ÇÃO (TIC)                                                   	174	1741	0	servicos.classes
1811	SERVIÇOS DE ARRENDAMENTO MERCANTIL FINANCEIRO                                                                           	181	1811	0	servicos.classes
1812	SERVIÇOS DE  ARRENDAMENTO  MERCANTIL OPERACIONAL, OU LOCAÇÃODE MÁQUINAS E EQUIPAMENTOS, SEM OPERADOR                    	181	1812	0	servicos.classes
1821	LICENCIAMENTO  DE DIREITOS  PERMANENTES  SOBRE  PROGRAMAS DECOMPUTADOR E LOCAÇÃO DE SOFTWARE                            	182	1821	0	servicos.classes
1822	CONTRATOS DE TRANSFERÊNCIA DE TECNOLOGIA                                                                                	182	1822	0	servicos.classes
1831	SEÇÃO DE DIREITOS DE PROPRIEDADE INTELECTUAL                                                                            	183	1831	0	servicos.classes
5411	SERVIÇOS GERAIS DE CONSTRUÇÃO DOS EDIFÍCIOS RESIDÊNCIAIS                                                                	541	5411	0	servicos.classes
5412	SERVIÇOS GERAIS DE CONSTRUÇÃO DOS EDIFÍCIOS NÃO RESIDÊNCIAIS                                                            	541	5412	0	servicos.classes
5421	SERVIÇOS GERAIS DE CONSTRUÇÃO DE ESTRADAS(EXCETO ELEVADOS), RUAS,VIAS,ESTRADAS DE FERRO E PISTAS DE ATERRIZAGEM         	542	5421	0	servicos.classes
5422	SERVIÇOS GERAIS DE CONSTRUÇÃO DE PONTES,ELEVADOS,TÚNEIS E   SUBTERRÂNEOS                                                	542	5422	0	servicos.classes
5423	SERVIÇOS GERAIS DE CONSTRUÇÃO DE PORTOS,CANAIS,REPRESAS E OUTRAS OBRAS HIDRÁULICAS E DE IRRIGAÇÃO                       	542	5423	0	servicos.classes
5424	SERVIÇOS GERAIS DE CONSTRUÇÃO DE TUBULAÇÕES, LINHAS DE COMU-NICAÇÃO E DE ENERGIA DE LONGA DISTÂNCIA                     	542	5424	0	servicos.classes
5425	SERVIÇOS GERAIS DE CONSTRUÇÃO DE TUBULAÇÕES,CABOS E OBRAS A-FINS URBANAS                                                	542	5425	0	servicos.classes
5426	SERVIÇOS GERAIS DE CONSTRUÇÃO DE MINAS E PLANTAS INDUSTRIAIS                                                            	542	5426	0	servicos.classes
5427	SERVIÇOS GERAIS DE CONSTRUÇÃO DE INSTALAÇÕES AO AR LIVRE    PARA DESPORTOS E LAZER                                      	542	5427	0	servicos.classes
5429	SERVIÇOS GERAIS DE CONSTRUÇÃO DE OUTRAS OBRAS DE ENGENHARIA N.C.P                                                       	542	5429	0	servicos.classes
5431	SERVIÇOS DE DEMOLIÇÃO                                                                                                   	543	5431	0	servicos.classes
5432	SERVIÇOS DE PREPARO/ACERTO E DESMATAMENTO DE TERRENO                                                                    	543	5432	0	servicos.classes
5433	SERVIÇOS DE ESCAVAÇÃO E DE MOVIMENTO DE TERRAS(TERRAPLANA-  GEM)                                                        	543	5433	0	servicos.classes
5434	SERVIÇO DE PERFURAÇÃO DE POÇOS DE ÁGUA E INSTALAÇÕES DE SIS-TEMAS SÉPTICOS                                              	543	5434	0	servicos.classes
