codigo	descricao	codigo_divisao	id	offset	item_filename
111	SERVIÇOS  DE DESENVOLVIMENTO E MANUTENÇÃO DE SOFTWARE                                                                   	11	111	0	servicos.grupos
112	SERVIÇOS DE MANUTENÇÃO E SUSTENTAÇÃO DE SOFTWARE                                                                        	11	112	0	servicos.grupos
113	SERVIÇOS DE DOCUMENTAÇAO DE SOFTWARE                                                                                    	11	113	0	servicos.grupos
114	SERVIÇOS SE ENGENHARIA DE REQUISITOS DE SOFTWARE                                                                        	11	114	0	servicos.grupos
115	SERVIÇOS DE MENSURAÇÃO DE SOFTWARE                                                                                      	11	115	0	servicos.grupos
116	SERVIÇOS DE QUALIDADE DE SOFTWARE                                                                                       	11	116	0	servicos.grupos
117	SERVIÇO DE IMPLEMENTAÇÃO ÁGIL DE SOFTWARE                                                                               	11	117	0	servicos.grupos
131	SERVIÇOS DE COMPUTAÇÃO EM NUVEM                                                                                         	13	131	0	servicos.grupos
141	SERVIÇOS DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-ÇÕES MÓVEIS (SMP) E TELECOMUNICAÇÕES SATELITAIS             	14	141	0	servicos.grupos
142	SERVIÇOS DE COMUNICAÇÃO DE DADOS                                                                                        	14	142	0	servicos.grupos
151	OUTSOURCING DE IMPRESSÃO  -  MODALIDADE FRANQUIA  MAIS EXCE-DENTE DE PÁGINAS                                            	15	151	0	servicos.grupos
152	OUTSOURCING DE IMPRESSÃO - MODALIDADE LOCAÇÃO DE EQUIPAMENTOMAIS PÁGINAS IMPRESSAS                                      	15	152	0	servicos.grupos
153	"OUTSOURCING DE IMPRESSÃO  -  MODALIDADE DE PAGAMENTO  APENASPOR PÁGINA IMPRESSA (SEM FRANQUIA) - ""CLICK""                "	15	153	0	servicos.grupos
161	SERVIÇOS ESPECIALIZADOS DE INSTALAÇÃO, TRANSIÇÃO, CONFIGURA-ÇÃO / CUSTOMIZAÇÃO DE SOFTWARE                              	16	161	0	servicos.grupos
162	SERVIÇOS  DE  GERENCIAMENTO  EM TECNOLOGIA DA INFORMAÇÃO  E COMUNICAÇÃO (TIC)                                           	16	162	0	servicos.grupos
163	SERVIÇOS DE HOSPEDAGEM EM TECNOLOGIA DA INFORMAÇÃO E  COMUNICACÃO (TIC)                                                 	16	163	0	servicos.grupos
164	SERVIÇOS DE INTEGRAÇÃO DE SISTEMAS EM TECNOLOGIA DA INFORMA-ÇÃO E COMUNICAÇÃO (TIC)                                     	16	164	0	servicos.grupos
165	SERVICOS PARA  A  INFRAESTRUTURA DE TECNOLOGIA DA INFORMAÇÃOE COMUNICAÇÃO (TIC),  NAO CLASSIFICADOS EM OUTROS TÓPICOS   	16	165	0	servicos.grupos
166	SERVIÇOS DE MANUTENÇÃO E INSTALAÇÃO DE EQUIPAMENTOS DE TIC                                                              	16	166	0	servicos.grupos
167	SERVIÇOS DE EMISSÃO DE CERTIFICADOS DIGITAIS                                                                            	16	167	0	servicos.grupos
168	SERVIÇOS AUXILIARES DE TECNOLOGIA DA INFORMAÇÃO  E  COMUNICAÇÃO (TIC)                                                   	16	168	0	servicos.grupos
171	SERVIÇOS DE ANÁLISE DA DADOS E INDICADORES DE TIC                                                                       	17	171	0	servicos.grupos
172	SERVIÇOS DE PESQUISA,ANÁLISE E DESENVOLVIMENTO EM TECNOLOGIADA INFORMAÇÃO E COMUNICAÇÃO (TIC)                           	17	172	0	servicos.grupos
173	SERVIÇOS  DE  CONSULTORIA  EM  TECNOLOGIA  DA  INFORMAÇÃO  ECOMUNICAÇÃO (TIC)                                           	17	173	0	servicos.grupos
174	SERVIÇOS DE PROJETOS EM TECNOLOGIA DA INFORMAÇÃO E COMUNICA-ÇÃO (TIC)                                                   	17	174	0	servicos.grupos
181	SERVICOS DE ARRENDAMENTO MERCANTIL, FINANCEIRO E OPERACIONAL                                                            	18	181	0	servicos.grupos
182	SERVIÇOS DE  LICENCIAMENTO E  CONTRATOS DE TRANSFERÊNCIA DE TECNOLOGIA                                                  	18	182	0	servicos.grupos
183	SEÇÃO DE DIREITOS DE PROPRIEDADE INTELECTUAL                                                                            	18	183	0	servicos.grupos
541	SERVIÇOS GERAIS DE CONSTRUÇÃO DOS EDIFÍCIOS                                                                             	54	541	0	servicos.grupos
542	SERVIÇOS GERAIS DE CONSTRUÇÃO PARA OBRAS DE ENGENHARIA CIVIL                                                            	54	542	0	servicos.grupos
543	SERVIÇO DE PREPARAÇÃO DO LOCAL DA CONSTRUÇÃO                                                                            	54	543	0	servicos.grupos
544	MONTAGEM E INSTALAÇÃO DE CONSTRUÇÕES PRÉ-FABRICADAS                                                                     	54	544	0	servicos.grupos
545	TIPOS ESPECIAIS DE SERVIÇOS DE CONSTRUÇÃO                                                                               	54	545	0	servicos.grupos
