codigo	descricao	unidade_medida	cpc	codigo_secao	codigo_divisao	codigo_grupo	codigo_classe	codigo_subclasse	id	offset	item_filename
5070	Manutenção de Linhas de Distribuição Energia Elétrica Energizada                                                        	UN	8729	8	87	872	8729		5070	500	servicos.servicos
5088	Manutenção de Usinagem Até 5t                                                                                           	UN	8715	8	87	871	8715		5088	500	servicos.servicos
5096	Manutenção de Usinagem Acima de 5t                                                                                      	UN	8715	8	87	871	8715		5096	500	servicos.servicos
5100	Transporte Marítimo - Internacional / Nacional                                                                          	UN	651	6	65	651			5100	500	servicos.servicos
5118	Transporte Marítimo e Fluvial - Carga  Excepcional  Indivisível                                                         	UN	652	6	65	652			5118	500	servicos.servicos
5126	Transporte Rodoviário - Equipamentos Elétricos de Proteção e Controle                                                   	UN	6433	6	64	643	6433		5126	500	servicos.servicos
5134	Transporte Rodoviário - Óleo Isolante                                                                                   	UN	6433	6	64	643	6433		5134	500	servicos.servicos
5142	Transporte Rodoviário - Carga Pesada ou Dimensões  EspeciaisAté 50t                                                     	UN	6433	6	64	643	6433		5142	500	servicos.servicos
5150	Transporte Rodoviário - Carga Pesada ou Dimensões  Especiaisde 50 Até 100t                                              	UN	6433	6	64	643	6433		5150	500	servicos.servicos
5169	Transporte Rodoviário - Carga Pesada ou Dimensões  Especiaisde 100 Até 150t                                             	UN	6433	6	64	643	6433		5169	500	servicos.servicos
5177	Transporte Rodoviário - Carga Pesada ou Dimensões  Especiaisde 150 Até 200t                                             	UN	6433	6	64	643	6433		5177	500	servicos.servicos
5185	Transporte Rodoviário - Carga Pesada ou Dimensões  EspeciaisAcima de 200t                                               	UN	6433	6	64	643	6433		5185	500	servicos.servicos
5193	Transporte Rodoviário - Substâncias Perigosas /  Graneleiros                                                            	UN	6433	6	64	643	6433		5193	500	servicos.servicos
5207	Transporte Rodoviário - Substâncias  Perigosas por  VeículosComuns                                                      	UN	6433	6	64	643	6433		5207	500	servicos.servicos
5215	Transporte Rodoviário - Postes                                                                                          	UN	6433	6	64	643	6433		5215	500	servicos.servicos
5223	Transporte de Carga de Temperatura Controlada                                                                           	UN	6433	6	64	643	6433		5223	500	servicos.servicos
5231	Transporte Rodoviário - Containers                                                                                      	UN	6433	6	64	643	6433		5231	500	servicos.servicos
5240	Transporte Rodoviário - Veículos                                                                                        	UN	6433	6	64	643	6433		5240	500	servicos.servicos
5258	Remoção de Carga Até 80t                                                                                                	UN	8599	8	85	859	8599		5258	500	servicos.servicos
5266	Remoção de Carga Acima de 80t                                                                                           	UN	8599	8	85	859	8599		5266	500	servicos.servicos
5274	Poda de Árvores em Linhas de Distribuição Desenergizadas                                                                	UN	851	8	85	851			5274	500	servicos.servicos
5282	Poda de Árvores em Linhas de Distribuição Energizadas                                                                   	UN	851	8	85	851			5282	500	servicos.servicos
5290	Instalação / Manutenção - Pisos Elevados                                                                                	UN	5475	5	54	547	5475		5290	500	servicos.servicos
5304	Instalação / Manutenção - Pisos Alta Resistência                                                                        	UN	5475	5	54	547	5475		5304	500	servicos.servicos
5312	Instalação / Manutenção - Piso Geral                                                                                    	UNM2M	5475	5	54	547	5475		5312	500	servicos.servicos
5320	Refeições Industriais - Preparo / Distribuição                                                                          	UNMÊS	632	6	63	632			5320	500	servicos.servicos
5339	Treinamento na Área de Meio Ambiente                                                                                    	UN	929	9	92	929			5339	500	servicos.servicos
5347	Treinamento na Área de Qualidade                                                                                        	UN	929	9	92	929			5347	500	servicos.servicos
5355	Leitura Medidor - Energia Elétrica                                                                                      	UN	851	8	85	851			5355	500	servicos.servicos
5363	Prestação de Serviços de Garçon                                                                                         	UN	8599	8	85	859	8599		5363	500	servicos.servicos
5371	"Prestação de Serviços Especializados ""Inativo""                                                                          "	UN	851	8	85	851			5371	500	servicos.servicos
5380	Prestação de Serviços de Apoio Administrativo                                                                           	UN	911	9	91	911			5380	500	servicos.servicos
5398	Prestação de Serviços de Informática                                                                                    	UN	859	8	85	859			5398	500	servicos.servicos
5401	Locação de Equipamento para Tratamento de Óleo Isolante                                                                 	UN	7329	7	73	732	7329		5401	500	servicos.servicos
5410	Manutenção e Reparo de Móveis / Utensílios de Escritório                                                                	UN	8724	8	87	872	8724		5410	500	servicos.servicos
5428	Manutenção Aparelhos Médicos - Hospitalares                                                                             	UN	8715	8	87	871	8715		5428	500	servicos.servicos
5436	Chaveiro                                                                                                                	UN	839	8	83	839			5436	500	servicos.servicos
5444	Manutenção de Arquivos Fixos, Giratórios ou Móveis                                                                      	UN	8715	8	87	871	8715		5444	500	servicos.servicos
5452	Confecção de Placas /  Quadros /  Distintivos / Artefatos deAcrílico / Metal / Laminado / Pvc                           	UN	8739	8	87	873	8739		5452	500	servicos.servicos
5460	Confecção de Fotolito                                                                                                   	UN	8819	8	88	881	8819		5460	500	servicos.servicos
5479	Manutenção - Equipamentos Gráficos                                                                                      	UN	8715	8	87	871	8715		5479	500	servicos.servicos
5487	Análise Clínica, Anatomia Patológica e Citopatologia                                                                    	UN	9311	9	93	931	9311		5487	500	servicos.servicos
19	Estudos e Projetos Viabilidade Técnico - Econômica  de  Aproveitamento Hidrelétrico                                     	UN	8319	8	83	831	8319		19	0	servicos.servicos
27	Estudos e Projetos de Viabilidade Técnico - Econômica de Usinas Termoelétricas / Termonucleares /Solar Fotovotaica      	UN	8319	8	83	831	8319		27	0	servicos.servicos
35	Estudos e Projetos de Viabilidade Técnico - Econômica de Unidades Industriais                                           	UN	8319	8	83	831	8319		35	0	servicos.servicos
43	Estudos e Projetos Viabilidade Técnico - Econômica de  Recursos Naturais                                                	UN	8319	8	83	831	8319		43	0	servicos.servicos
51	Estudos e Projetos Urbanísticos / Paisagísticos / Arquitetô-nicos                                                       	UN	8319	8	83	831	8319		51	0	servicos.servicos
60	Estudos e Projetos de Assentamento Populacional                                                                         	UN	8319	8	83	831	8319		60	0	servicos.servicos
78	Estudos e Projetos de Arquitetura                                                                                       	UN	8319	8	83	831	8319		78	0	servicos.servicos
86	Estudos e Projetos de Meio Ambiente - Plano Diretor                                                                     	UN	8319	8	83	831	8319		86	0	servicos.servicos
94	Estudos e Projetos de Meio Ambiente - Avaliação e Elaboraçãodo Relatório de Impacto                                     	UN	8319	8	83	831	8319		94	0	servicos.servicos
108	Estudos e Projetos de Meio Ambiente - Confiabilidade e Análise de Risco                                                 	UN	8319	8	83	831	8319		108	0	servicos.servicos
116	Estudos e Projetos de Meio Ambiente Físico                                                                              	UN	8319	8	83	831	8319		116	0	servicos.servicos
124	Estudos e Projetos de Meio Ambiente Biótico                                                                             	UN	8319	8	83	831	8319		124	0	servicos.servicos
132	Estudos e Projetos de Meio Ambiente, Sócio-Econômico, Cultural                                                          	UN	8319	8	83	831	8319		132	0	servicos.servicos
140	Estudos e Projetos de Fundações Diretas e Profundas                                                                     	UN	8319	8	83	831	8319		140	0	servicos.servicos
159	Estudos e Projetos de Cortes, Aterros e Escoramentos                                                                    	UN	8319	8	83	831	8319		159	0	servicos.servicos
167	Estudos e Projetos de Rebaixamento de Lençol D'água                                                                     	UN	8319	8	83	831	8319		167	0	servicos.servicos
175	Estudos e Projetos de Estruturas - Concreto Armado                                                                      	UN	8319	8	83	831	8319		175	0	servicos.servicos
183	Estudos e Projetos de Estruturas - Concreto Protendido                                                                  	M3UN	8319	8	83	831	8319		183	0	servicos.servicos
191	Estudos e Projetos de Estruturas - Metálicas                                                                            	UN	8319	8	83	831	8319		191	0	servicos.servicos
205	Estudos e Projetos de Recuperação e Reforço de Estruturas                                                               	UNM2	8319	8	83	831	8319		205	0	servicos.servicos
213	Estudos e Projetos de Instalação Elétrica                                                                               	UN	8319	8	83	831	8319		213	0	servicos.servicos
221	Estudos e Projetos de Instalação Hidro-Sanitária                                                                        	UN	8319	8	83	831	8319		221	0	servicos.servicos
230	Estudos e Projetos de Instalação Telefônica                                                                             	UN	8319	8	83	831	8319		230	0	servicos.servicos
248	Estudos e Projetos de Instalação de Gás -  Instalações  Pre-Diais / Industriais                                         	UN	8319	8	83	831	8319		248	0	servicos.servicos
256	Estudos e Projetos de Instalação Eletrônica                                                                             	UN	8319	8	83	831	8319		256	0	servicos.servicos
264	Estudos e Projetos - Instalações Prediais                                                                               	UN	8319	8	83	831	8319		264	0	servicos.servicos
272	Estudos e Projetos de Instalação de Som Ambiente                                                                        	UN	8319	8	83	831	8319		272	0	servicos.servicos
280	Estudos e Projetos de Saneamento - Captação, Adução e Distribuição de Água                                              	UN	8319	8	83	831	8319		280	0	servicos.servicos
299	Estudos e Projetos de Saneamento - Tratamento de Água                                                                   	UN	8319	8	83	831	8319		299	0	servicos.servicos
302	Estudos e Projetos de Saneamento - Sistema de Esgoto Sanitá-rio                                                         	UN	8319	8	83	831	8319		302	0	servicos.servicos
310	Estudos e Projetos de Saneamento - Tratamento Despejo Sanitário                                                         	UN	8319	8	83	831	8319		310	0	servicos.servicos
329	Estudos e Projetos de Saneamento - Tratamento Despejo  Industrial                                                       	UN	8319	8	83	831	8319		329	0	servicos.servicos
337	Estudos e Projetos de Saneamento - Sistema de Drenagem Pluvial                                                          	UN	8319	8	83	831	8319		337	0	servicos.servicos
345	Estudos e Projetos de Saneamento - Sistema de Drenagem Industrial                                                       	UN	8319	8	83	831	8319		345	0	servicos.servicos
353	Estudos e Projetos de Tratamento de Rejeitos Radioativos                                                                	UN	8319	8	83	831	8319		353	0	servicos.servicos
361	Estudos e Projetos de Geotecnia e Geologia                                                                              	UN	8319	8	83	831	8319		361	0	servicos.servicos
370	Estudos e Projetos de Barragens e Diques                                                                                	UN	8319	8	83	831	8319		370	0	servicos.servicos
388	Estudos e Projetos de Modelo Reduzido                                                                                   	UN	8319	8	83	831	8319		388	0	servicos.servicos
396	Estudos e Projetos de Obras Marítimas                                                                                   	UN	8319	8	83	831	8319		396	0	servicos.servicos
400	Estudos e Projetos de Hidrologia                                                                                        	UN	8319	8	83	831	8319		400	0	servicos.servicos
418	Estudos e Projetos de Hidrografia e Oceanografia                                                                        	UN	8319	8	83	831	8319		418	0	servicos.servicos
426	Estudos e Projetos de Meteorologia                                                                                      	UN	8319	8	83	831	8319		426	0	servicos.servicos
434	Estudos e Projetos de Túneis                                                                                            	UN	8319	8	83	831	8319		434	0	servicos.servicos
442	Estudos e Projetos de Rodovias                                                                                          	UN	8319	8	83	831	8319		442	0	servicos.servicos
450	Estudos e Projetos de Ferrovias - Pátios e Terminais                                                                    	UN	8319	8	83	831	8319		450	0	servicos.servicos
469	Estudos e Projetos de Aeroportos                                                                                        	UN	8319	8	83	831	8319		469	0	servicos.servicos
477	Ar Condicionado - Estudos e Projetos de Sistema                                                                         	UN	8319	8	83	831	8319		477	0	servicos.servicos
485	Estudos e Projetos de Sistemas de Ventilação e Exaustão Mecânica                                                        	UN	8319	8	83	831	8319		485	0	servicos.servicos
