codigo	descricao	codigo_classe	id	offset	item_filename
54111	SERVIÇOS GERAIS DE CONSTRUÇÃO DOS EDIFÍCIOS DE UMA OU DUAS  MORADIAS                                                    	5411	54111	0	servicos.subclasses
54112	SERVIÇOS GERAIS DE CONSTRUÇÃO DOS EDIFÍCIOS DE TRÊS OU MAIS MORADIAS                                                    	5411	54112	0	servicos.subclasses
54121	SERVIÇOS GERAIS DE CONSTRUÇÃO DOS EDIFÍCIOS INDUSTRIAIS                                                                 	5412	54121	0	servicos.subclasses
54122	SERVIÇOS GERAIS DE CONSTRUÇÃO DOS EDIFÍCIOS COMERCIAIS                                                                  	5412	54122	0	servicos.subclasses
54129	SERVIÇOS GERAIS DE CONSTRUÇÃO DE OUTROS EDIFÍCIOS NÃO RESIDÊNCIAIS                                                      	5412	54129	0	servicos.subclasses
54210	SERVIÇOS GERAIS DE CONSTRUÇÃO DE ESTRADAS(EXCETO ELEVADOS), RUAS,VIAS,ESTRADAS DE FERRO E PISTAS DE ATERRIZAGEM         	5421	54210	0	servicos.subclasses
54220	SERVIÇOS GERAIS DE CONSTRUÇÃO DE PONTES,ELEVADOS,TÚNEIS E   SUBTERRÂNEOS                                                	5422	54220	0	servicos.subclasses
54241	SERVIÇOS GERAIS DE CONSTRUÇÃO DE TUBULAÇÕES DE LONGAS DISTÂNCIAS                                                        	5424	54241	0	servicos.subclasses
54242	SERVIÇOS GERAIS DE CONSTRUÇÃO DE LINHAS DE COMUNICAÇÃO E DE ENERGIA(CABOS) DE LONGA DISTÂNCIA.                          	5424	54242	0	servicos.subclasses
54251	SERVIÇOS GERAIS DE CONSTRUÇÃO DE TUBULAÇÕES URBANAS AFINS                                                               	5425	54251	0	servicos.subclasses
54252	SERVIÇOS GERAIS DE CONSTRUÇÃO PARA CABOS E OBRAS URBANAS AFINS                                                          	5425	54252	0	servicos.subclasses
54260	SERVIÇOS GERAIS DE CONSTRUÇÃO DE MINAS E PLANTAS INDUSTRIAIS                                                            	5426	54260	0	servicos.subclasses
54270	SERVIÇOS GERAIS DE CONSTRUÇÃO DE INSTALAÇÕES AO AR LIVRE    PARA DESPORTOS E LAZER                                      	5427	54270	0	servicos.subclasses
54290	SERVIÇOS GERAIS DE CONSTRUÇÃO DE OUTRAS OBRAS DE ENGENHARIA N.C.P                                                       	5429	54290	0	servicos.subclasses
54320	SERVIÇOS DE PREPARO/ACERTO E DESMATAMENTO DE TERRENO                                                                    	5432	54320	0	servicos.subclasses
54400	MONTAGEM E INSTALAÇÃO DE CONSTRUÇÕES PRÉ-FABRICADAS                                                                     	5440	54400	0	servicos.subclasses
54511	SERVIÇOS DE INSTALAÇÃO DE PILOTIS                                                                                       	5451	54511	0	servicos.subclasses
54512	SERVIÇOS DE CIMENTAÇÃO DE FUNDAÇÃO/ALICERCE                                                                             	5451	54512	0	servicos.subclasses
54521	SERVIÇOS DE ESTRUTURAÇÃO DE EDIFÍCIOS                                                                                   	5452	54521	0	servicos.subclasses
54522	SERVIÇOS DE ESTRUTURAÇÃO DE TELHADOS                                                                                    	5452	54522	0	servicos.subclasses
54530	SERVIÇOS DE TELHADO E IMPERMEABILIZAÇÃO                                                                                 	5453	54530	0	servicos.subclasses
54540	SERVIÇOS DE TRABALHO COM CONCRETO                                                                                       	5454	54540	0	servicos.subclasses
54550	SERVIÇOS DE INSTALAÇÃO DE ESTRUTURAS DE AÇO                                                                             	5455	54550	0	servicos.subclasses
54560	SERVIÇOS DE ALVENARIA                                                                                                   	5456	54560	0	servicos.subclasses
54570	SERVIÇOS DE INSTALAÇÃO DE ANDAIMES                                                                                      	5457	54570	0	servicos.subclasses
