module,method,url,count
servicos,secoes,http://compras.dados.gov.br/servicos/v1/secoes.json,6
servicos,grupos,http://compras.dados.gov.br/servicos/v1/grupos.json,147
servicos,divisoes,http://compras.dados.gov.br/servicos/v1/divisoes.json,39
servicos,classes,http://compras.dados.gov.br/servicos/v1/classes.json,285
servicos,subclasses,http://compras.dados.gov.br/servicos/v1/subclasses.json,281
servicos,servicos,http://compras.dados.gov.br/servicos/v1/servicos.json,2752
materiais,pdms,http://compras.dados.gov.br/materiais/v1/pdms.json,19678
materiais,grupos,http://compras.dados.gov.br/materiais/v1/grupos.json,79
materiais,classes,http://compras.dados.gov.br/materiais/v1/classes.json,704
fornecedores,portes_empresa,http://compras.dados.gov.br/fornecedores/v1/portes_empresa.json,3
fornecedores,naturezas_juridicas,http://compras.dados.gov.br/fornecedores/v1/naturezas_juridicas.json,74
fornecedores,tipos_ocorrencia,http://compras.dados.gov.br/fornecedores/v1/tipos_ocorrencia.json,10
materiais,materiais,http://compras.dados.gov.br/materiais/v1/materiais.json,261484
fornecedores,municipios,http://compras.dados.gov.br/fornecedores/v1/municipios.json,5317
fornecedores,ramos_negocio,http://compras.dados.gov.br/fornecedores/v1/ramos_negocio.json,87
fornecedores,ocorrencias_fornecedores,http://compras.dados.gov.br/fornecedores/v1/ocorrencias_fornecedores.json,199579
fornecedores,prazos_ocorrencia,http://compras.dados.gov.br/fornecedores/v1/prazos_ocorrencia.json,4
fornecedores,cnaes,http://compras.dados.gov.br/fornecedores/v1/cnaes.json,1329
fornecedores,ambitos_ocorrencia,http://compras.dados.gov.br/fornecedores/v1/ambitos_ocorrencia.json,6
fornecedores,linhas_fornecimento,http://compras.dados.gov.br/fornecedores/v1/linhas_fornecimento.json,3272
licitacoes,modalidades_licitacao,http://compras.dados.gov.br/licitacoes/v1/modalidades_licitacao.json,12
pregoes,anexo_proposta,http://compras.dados.gov.br/pregoes/v1/anexo_proposta.json,2483123
licitacoes,uasgs,http://compras.dados.gov.br/licitacoes/v1/uasgs.json,28054
licitacoes,orgaos,http://compras.dados.gov.br/licitacoes/v1/orgaos.json,764
fornecedores,fornecedores,http://compras.dados.gov.br/fornecedores/v1/fornecedores.json,391825
licitacoes,registros_preco,http://compras.dados.gov.br/licitacoes/v1/registros_preco.json,219020
compraSemLicitacao,itens_compras_slicitacao,http://compras.dados.gov.br/compraSemLicitacao/v1/itens_compras_slicitacao.json,13327173
contratos,cronogramas,http://compras.dados.gov.br/contratos/v1/cronogramas.json,146925
compraSemLicitacao,compras_slicitacao,http://compras.dados.gov.br/compraSemLicitacao/v1/compras_slicitacao.json,4371510
pregoes,tipos_pregao,http://compras.dados.gov.br/pregoes/v1/tipos_pregao.json,0
pregoes,situacoes_pregao,http://compras.dados.gov.br/pregoes/v1/situacoes_pregao.json,0
pregoes,orgaos_pregao,http://compras.dados.gov.br/pregoes/v1/orgaos_pregao.json,0
pregoes,itens_do_fornecedor,http://compras.dados.gov.br/pregoes/v1/itens_do_fornecedor.json,15519418
pregoes,objetos_pregao,http://compras.dados.gov.br/pregoes/v1/objetos_pregao.json,0
licitacoes,rdcs,http://compras.dados.gov.br/licitacoes/v1/rdcs.json,2462
pregoes,declaracao_pregao,http://compras.dados.gov.br/pregoes/v1/declaracao_pregao.json,9998285
contratos,contratos,http://compras.dados.gov.br/contratos/v1/contratos.json,589023
pregoes,resultados_pregao,http://compras.dados.gov.br/pregoes/v1/resultados_pregao.json,2266351
licitacoes,precos_praticados,http://compras.dados.gov.br/licitacoes/v1/precos_praticados.json,805050
pregoes,pregoes,http://compras.dados.gov.br/pregoes/v1/pregoes.json,682986
contratos,tipos_contrato,http://compras.dados.gov.br/contratos/v1/tipos_contrato.json,9
licitacoes,irps,http://compras.dados.gov.br/licitacoes/v1/irps.json,3344
licitacoes,licitacoes,http://compras.dados.gov.br/licitacoes/v1/licitacoes.json,1024068
